Tier,Test_ID,Question,methodology,SQL_template,Actual_SQL_query,correct_answer,actual_answer,ground_truth_verified,status,template_id
simple,SL_001,How many S&P 500 companies are in the Information Technology sector?,sector_industry_analysis,single_metric_lookup,SELECT COUNT(*) as company_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE gics_sector = 'Information Technology',143 (±2),,Yes,validated,no_match
simple,SL_003,Which sector has the most companies in our S&P 500 dataset?,sector_industry_analysis,single_metric_lookup,"SELECT gics_sector as sector, COUNT(*) as company_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE gics_sector IS NOT NULL GROUP BY gics_sector ORDER BY company_count DESC LIMIT 1",Other,,Yes,validated,sector_with_most_companies
simple,SL_006,How many companies are incorporated in Delaware?,geographic_regulatory,single_metric_lookup,SELECT COUNT(*) as company_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE stprinc = 'DE',349 (±2),,Yes,validated,companies_by_incorporation_state
simple,SL_007,What currency is used most frequently in the numerical data?,currency_units,single_metric_lookup,"SELECT uom as currency, COUNT(*) as usage_count FROM 'data/s_and_p_500_parquet/num.parquet' WHERE uom IS NOT NULL   AND (uom ILIKE '%USD%' OR uom ILIKE '%EUR%' OR uom ILIKE '%CAD%' OR LENGTH(uom) = 3) GROUP BY uom ORDER BY usage_count DESC LIMIT 1",USD,,Yes,validated,no_match
simple,SL_008,How many financial facts have footnotes?,xbrl_data_quality,single_metric_lookup,SELECT COUNT(*) as facts_with_footnotes FROM 'data/s_and_p_500_parquet/num.parquet' WHERE footnote IS NOT NULL   AND TRIM(footnote) != '',33959,,Yes,validated,no_match
simple,SL_009,Which company has CIK 0000066740?,corporate_identity_metadata,single_metric_lookup,SELECT name as company_name FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE cik = '0000066740'    OR cik = '66740' UNION SELECT DISTINCT c.name as company_name FROM 'data/s_and_p_500_parquet/sub.parquet' s JOIN 'data/s_and_p_500/comprehensive_companies.csv' c ON c.cik = s.cik WHERE s.cik = '0000066740'    OR s.cik = '66740' LIMIT 1,3M CO,,Yes,validated,no_match
simple,SL_010,How many companies are in the Health Care sector?,sector_industry_analysis,single_metric_lookup,SELECT COUNT(*) as company_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE gics_sector = 'Health Care',56 (±2),,Yes,validated,sector_company_count
simple,SL_011,What is the most recent filing date in the dataset?,temporal_filing_patterns,aggregation_query,SELECT MAX(filed) as most_recent_filing_date FROM 'data/s_and_p_500_parquet/sub.parquet' WHERE filed IS NOT NULL,2025-06-30 00:00:00,,Yes,validated,no_match
simple,SL_012,How many companies filed 10-K forms?,temporal_filing_patterns,single_metric_lookup,SELECT COUNT(DISTINCT cik) as companies_with_10k FROM 'data/s_and_p_500_parquet/sub.parquet' WHERE form = '10-K',563 (±2),,Yes,validated,no_match
simple,SL_013,Which state has the most company headquarters?,geographic_regulatory,aggregation_query,"SELECT stprba as state, COUNT(*) as headquarters_count FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE stprba IS NOT NULL   AND stprba != '' GROUP BY stprba ORDER BY headquarters_count DESC LIMIT 1",CA,,Yes,validated,no_match
simple,SL_014,How many different fiscal year ends are represented?,temporal_filing_patterns,aggregation_query,SELECT COUNT(DISTINCT fp) as distinct_fiscal_year_ends FROM 'data/s_and_p_500_parquet/sub.parquet' WHERE fp IS NOT NULL   AND fp != '',14 (±1),,Yes,validated,no_match
simple,SL_015,What is Amazon's GICS sector?,corporate_identity_metadata,single_metric_lookup,SELECT gics_sector FROM 'data/s_and_p_500/comprehensive_companies.csv' WHERE name ILIKE '%Amazon%'    OR symbol = 'AMZN' LIMIT 1,Consumer Discretionary,,Yes,validated,no_match
